@relation 'Shoe-weka.filters.unsupervised.attribute.Remove-R2,4-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1'

@attribute Gender {M,F,U,A,7.0}
@attribute State {MI,MA,RI,NH,NY,ME,VT,CT,UT,VA,NJ,NE,AP,AE,TX,WY,NV,DE,PA,IL,DC,NC,MD,WV,SC,GA,FL,TN,AA,AL,MS,KY,OH,IN,MN,MT,OR,IA,WI,MO,SD,ND,KS,AZ,LA,AR,OK,CA,CO,ID,WA,NM,HI,GU,AK,PQ,QE,ON,MB,SK}
@attribute StoreCd {'\'(-inf-1000128357.9]\'','\'(1000128357.9-2000114095.8]\'','\'(2000114095.8-3000099833.7]\'','\'(3000099833.7-inf)\''}
@attribute Source {RBCK,EMC,EMCD,DAO3,SWP,DAOD,DAOA,DAOL,DCF,ERR,DAO,DECL,DBG3,DPUR,LTR,DAOC,DAO4,FP1,DAOB,DBG,DDC,DAOa,FP3,FP2}
@attribute Age {'\'(-inf-22.1]\'','\'(22.1-25.2]\'','\'(25.2-28.3]\'','\'(28.3-inf)\''}
@attribute YearsRunning {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-inf)\''}
@attribute Miles/Week {'\'(-inf-5.1]\'','\'(5.1-10.2]\'','\'(10.2-15.3]\'','\'(15.3-inf)\''}
@attribute Races/Year {'\'(-inf-1]\'','\'(1-2]\'','\'(2-inf)\''}
@attribute Triathlete {N,Y,6.0,0.0}
@attribute Style {42650.0,43595.0,44590.0,43410.0,44690.0,44592.0,44595.0,46850.0,44410.0,46870.0,44542.0,8933.0,43542.0,43830.0,41650.0,44990.0,8945.0,43690.0,44540.0,44100.0,44980.0,8958.0,41456.0,42456.0,45850.0,44420.0,43990.0,43590.0,41750.0,43540.0,43980.0,45870.0,46670.0,41500.0,42890.0,44591.0,44830.0,44600.0,41890.0,43100.0,45592.0,44985.0,41900.0,8884.0,43700.0,42900.0,43600.0,40000.0,41450.0,43985.0,8944.0,8879.0,42450.0,43620.0,43414.0,42500.0,44900.0,45900.0,44700.0,15400.0,46900.0,42750.0,8883.0,44650.0,42850.0,54696.0,41850.0,46550.0,43650.0,32990.0,4370-,85717.0,48500.0,41201.0,42201.0,8934.0,43440.0,45670.0,43400.0,8957.0,44952.0,6200.0,54650.0,53650.0,4900.0,36770.0,11920.0,43900.0,45720.0,44692.0,8464.0,43211.0,8822.0,8995.0,11600.0,44212.0,43592.0,44620.0,43660.0,45492.0,C22R,8823.0,44360.0,8996.0,11700.0,42620.0,C10R,31214.0,10989.0,43550.0,C21R,44211.0,8964.0,43691.0,44414.0,47001.0,1163.0,837.0,44630.0,44500.0,C02R,4317.0,44340.0,49590.0,11608.0,21890.0,42659.0,48580.0,44529.0,48550.0,21650.0,46592.0,3690.0,11601.0,9000.0,29836.0,33600.0,44210.0,44820.0,44400.0,43420.0,44502.0,68631.0,400.0,4469.0,52500.0,46720.0,21645.0,15402.0,11602.0,35770.0,44998.0,14350.0,43560.0,45740.0,430.0,4980.0,46740.0,D42R,43642.0,349.0,55620.0}
@attribute ShoeCode {'\'(-inf-511901958.1]\'','\'(511901958.1-1023661296.2]\'','\'(1023661296.2-1535420634.3]\'','\'(1535420634.3-2047179972.4]\'','\'(2047179972.4-2558939310.5]\'','\'(2558939310.5-3070698648.600001]\'','\'(3070698648.600001-3582457986.700001]\'','\'(3582457986.700001-4094217324.8]\'','\'(4094217324.8-4605976662.900002]\'','\'(4605976662.900002-inf)\''}
@attribute PurchaseNumber {1,2}

@data
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(2-3]\'','\'(10.2-15.3]\'','\'(-inf-1]\'',N,41650.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'','\'(-inf-1]\'',N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(2-3]\'','\'(15.3-inf)\'',?,N,43595.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(-inf-1000128357.9]\'',EMCD,'\'(28.3-inf)\'',?,'\'(15.3-inf)\'',?,N,44990.0,'\'(-inf-511901958.1]\'',2
M,MA,'\'(2000114095.8-3000099833.7]\'',EMCD,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'','\'(2-inf)\'',N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'',?,'\'(5.1-10.2]\'',?,N,44690.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(4-inf)\'','\'(5.1-10.2]\'',?,N,46850.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(-inf-1000128357.9]\'',DAO3,?,'\'(-inf-1]\'','\'(15.3-inf)\'',?,N,44690.0,'\'(511901958.1-1023661296.2]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(-inf-1]\'','\'(10.2-15.3]\'',?,?,8945.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(5.1-10.2]\'','\'(-inf-1]\'',N,43690.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(10.2-15.3]\'','\'(2-inf)\'',N,42650.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'',?,'\'(5.1-10.2]\'',?,?,43690.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(10.2-15.3]\'',?,N,44592.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'','\'(2-inf)\'',N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'',?,N,44540.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(3000099833.7-inf)\'',DAO3,?,?,'\'(15.3-inf)\'','\'(-inf-1]\'',Y,44100.0,'\'(4605976662.900002-inf)\'',1
U,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'',?,N,46850.0,'\'(2047179972.4-2558939310.5]\'',2
M,MA,'\'(-inf-1000128357.9]\'',EMCD,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'',?,N,44690.0,'\'(-inf-511901958.1]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'',?,N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(-inf-1000128357.9]\'',EMCD,'\'(28.3-inf)\'',?,'\'(5.1-10.2]\'',?,N,43595.0,'\'(-inf-511901958.1]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(-inf-1]\'','\'(15.3-inf)\'',?,N,44980.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(-inf-1000128357.9]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'','\'(-inf-1]\'',N,44542.0,'\'(511901958.1-1023661296.2]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,?,?,'\'(5.1-10.2]\'',?,?,43690.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'',?,'\'(5.1-10.2]\'',?,N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(2-3]\'','\'(15.3-inf)\'','\'(-inf-1]\'',N,43542.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'',?,N,44592.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(2-3]\'','\'(10.2-15.3]\'','\'(-inf-1]\'',N,44590.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,?,SWP,'\'(28.3-inf)\'',?,'\'(5.1-10.2]\'',?,?,?,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(10.2-15.3]\'',?,N,44690.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(-inf-1000128357.9]\'',EMCD,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(10.2-15.3]\'',?,N,43690.0,'\'(-inf-511901958.1]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'',?,'\'(5.1-10.2]\'',?,?,46850.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'',?,'\'(5.1-10.2]\'',?,N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'',?,'\'(5.1-10.2]\'',?,?,44595.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(2-3]\'','\'(5.1-10.2]\'',?,N,43542.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(10.2-15.3]\'','\'(-inf-1]\'',N,8958.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(4-inf)\'','\'(5.1-10.2]\'','\'(-inf-1]\'',N,43690.0,'\'(2047179972.4-2558939310.5]\'',2
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,?,?,'\'(5.1-10.2]\'',?,?,43595.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(5.1-10.2]\'','\'(-inf-1]\'',N,44595.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(4-inf)\'','\'(5.1-10.2]\'','\'(2-inf)\'',N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'',?,'\'(5.1-10.2]\'',?,N,44690.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'',?,N,46850.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(-inf-1000128357.9]\'',EMCD,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'','\'(-inf-1]\'',N,42650.0,'\'(-inf-511901958.1]\'',1
F,MA,?,DAOD,'\'(-inf-22.1]\'',?,?,'\'(-inf-1]\'',N,43595.0,'\'(2047179972.4-2558939310.5]\'',1
U,MA,'\'(-inf-1000128357.9]\'',DAOD,'\'(28.3-inf)\'','\'(2-3]\'','\'(5.1-10.2]\'','\'(2-inf)\'',Y,44592.0,'\'(-inf-511901958.1]\'',2
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'','\'(-inf-1]\'',N,46870.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'',?,N,42650.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(-inf-1]\'','\'(15.3-inf)\'',?,Y,44690.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(-inf-1000128357.9]\'',DAOD,'\'(-inf-22.1]\'','\'(-inf-1]\'','\'(5.1-10.2]\'',?,N,44592.0,'\'(-inf-511901958.1]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(10.2-15.3]\'',?,N,44690.0,'\'(2047179972.4-2558939310.5]\'',1
U,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(-inf-1]\'','\'(5.1-10.2]\'','\'(-inf-1]\'',Y,8945.0,'\'(2047179972.4-2558939310.5]\'',2
M,MA,'\'(2000114095.8-3000099833.7]\'',DAO3,?,?,'\'(15.3-inf)\'',?,N,44690.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(5.1-10.2]\'','\'(2-inf)\'',N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(5.1-10.2]\'',?,N,44595.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,?,SWP,'\'(-inf-22.1]\'',?,'\'(5.1-10.2]\'',?,?,?,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(4-inf)\'','\'(10.2-15.3]\'','\'(-inf-1]\'',N,43595.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(2-3]\'','\'(10.2-15.3]\'',?,?,44590.0,'\'(2047179972.4-2558939310.5]\'',2
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(5.1-10.2]\'','\'(-inf-1]\'',N,43690.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(10.2-15.3]\'',?,N,44590.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(5.1-10.2]\'',?,N,44690.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'','\'(2-inf)\'',N,44590.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,?,'\'(-inf-1]\'','\'(15.3-inf)\'',?,N,44690.0,'\'(-inf-511901958.1]\'',2
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(5.1-10.2]\'','\'(-inf-1]\'',N,44690.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(-inf-1]\'','\'(-inf-5.1]\'','\'(-inf-1]\'',N,43690.0,'\'(2047179972.4-2558939310.5]\'',1
U,MA,'\'(3000099833.7-inf)\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(5.1-10.2]\'','\'(-inf-1]\'',N,43690.0,'\'(4605976662.900002-inf)\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'',?,'\'(15.3-inf)\'',?,N,43595.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(4-inf)\'','\'(10.2-15.3]\'','\'(-inf-1]\'',N,46850.0,'\'(2047179972.4-2558939310.5]\'',2
U,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(4-inf)\'','\'(10.2-15.3]\'','\'(-inf-1]\'',N,43595.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(4-inf)\'','\'(15.3-inf)\'',?,N,8933.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(-inf-1]\'','\'(15.3-inf)\'','\'(-inf-1]\'',N,43690.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(10.2-15.3]\'',?,N,43410.0,'\'(2047179972.4-2558939310.5]\'',1
U,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(4-inf)\'','\'(15.3-inf)\'','\'(-inf-1]\'',N,41456.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'',?,'\'(5.1-10.2]\'',?,N,43595.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(4-inf)\'','\'(5.1-10.2]\'','\'(-inf-1]\'',Y,44592.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(2-3]\'','\'(15.3-inf)\'',?,Y,43595.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(5.1-10.2]\'',?,N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
F,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(10.2-15.3]\'',?,N,44410.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(5.1-10.2]\'','\'(-inf-1]\'',N,8958.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(2-3]\'','\'(5.1-10.2]\'',?,N,44980.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(4-inf)\'','\'(15.3-inf)\'','\'(-inf-1]\'',N,42650.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(4-inf)\'','\'(15.3-inf)\'',?,N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(-inf-22.1]\'','\'(2-3]\'','\'(15.3-inf)\'','\'(2-inf)\'',N,44690.0,'\'(2047179972.4-2558939310.5]\'',2
M,MA,'\'(2000114095.8-3000099833.7]\'',EMC,'\'(28.3-inf)\'','\'(-inf-1]\'','\'(15.3-inf)\'','\'(-inf-1]\'',N,44542.0,'\'(2047179972.4-2558939310.5]\'',1
